n,a_n,parity,is_odd_term,last_checked_previous_term
766,2824,even,False,25
767,2828,even,False,25
768,2830,even,False,25
769,2834,even,False,25
770,2838,even,False,25
771,2840,even,False,25
772,2844,even,False,25
773,2846,even,False,25
774,2848,even,False,25
775,2852,even,False,25
776,2858,even,False,25
777,2864,even,False,25
778,2866,even,False,25
779,2868,even,False,25
780,2870,even,False,25
781,2874,even,False,25
782,2876,even,False,25
783,2880,even,False,25
784,2882,even,False,25
785,2888,even,False,25
786,2890,even,False,25
787,2894,even,False,25
788,2898,even,False,25
789,2900,even,False,25
790,2904,even,False,25
791,2906,even,False,25
792,2910,even,False,25
793,2912,even,False,25
794,2918,even,False,25
795,2920,even,False,25
796,2922,even,False,25
797,2924,even,False,25
798,2930,even,False,25
799,2934,even,False,25
800,2936,even,False,25
801,2940,even,False,25
802,2942,even,False,25
803,2948,even,False,25
804,2950,even,False,25
805,2954,even,False,25
806,2958,even,False,25
807,2960,even,False,25
808,2964,even,False,25
809,2966,even,False,25
810,2972,even,False,25
811,2978,even,False,25
812,2980,even,False,25
813,2982,even,False,25
814,2984,even,False,25
815,2988,even,False,25
816,2990,even,False,25
817,2992,even,False,25
818,2996,even,False,25
819,3002,even,False,25
820,3004,even,False,25
821,3006,even,False,25
822,3008,even,False,25
823,3014,even,False,25
824,3020,even,False,25
825,3026,even,False,25
826,3028,even,False,25
827,3030,even,False,25
828,3032,even,False,25
829,3034,even,False,25
830,3038,even,False,25
831,3044,even,False,25
832,3046,even,False,25
833,3050,even,False,25
834,3052,even,False,25
835,3056,even,False,25
836,3062,even,False,25
837,3068,even,False,25
838,3070,even,False,25
839,3072,even,False,25
840,3074,even,False,25
841,3076,even,False,25
842,3080,even,False,25
843,3086,even,False,25
844,3090,even,False,25
845,3092,even,False,25
846,3098,even,False,25
847,3100,even,False,25
848,3102,even,False,25
849,3104,even,False,25
850,3106,even,False,25
851,3110,even,False,25
852,3114,even,False,25
853,3116,even,False,25
854,3122,even,False,25
855,3124,even,False,25
856,3126,even,False,25
857,3128,even,False,25
858,3130,even,False,25
859,3132,even,False,25
860,3134,even,False,25
861,3140,even,False,25
862,3146,even,False,25
863,3148,even,False,25
864,3150,even,False,25
865,3152,even,False,25
866,3154,even,False,25
867,3158,even,False,25
868,3160,even,False,25
869,3164,even,False,25
870,3170,even,False,25
871,3172,even,False,25
872,3174,even,False,25
873,3176,even,False,25
874,3182,even,False,25
875,3188,even,False,25
876,3194,even,False,25
877,3198,even,False,25
878,3200,even,False,25
879,3206,even,False,25
880,3210,even,False,25
881,3212,even,False,25
882,3214,even,False,25
883,3218,even,False,25
884,3222,even,False,25
885,3224,even,False,25
886,3230,even,False,25
887,3236,even,False,25
888,3238,even,False,25
889,3240,even,False,25
890,3242,even,False,25
891,3244,even,False,25
892,3248,even,False,25
893,3254,even,False,25
894,3260,even,False,25
895,3262,even,False,25
896,3264,even,False,25
897,3266,even,False,25
898,3268,even,False,25
899,3272,even,False,25
900,3278,even,False,25
901,3280,even,False,25
902,3284,even,False,25
903,3286,even,False,25
904,3290,even,False,25
905,3292,even,False,25
906,3296,even,False,25
907,3302,even,False,25
908,3308,even,False,25
909,3310,even,False,25
910,3314,even,False,25
911,3316,even,False,25
912,3320,even,False,25
913,3324,even,False,25
914,3326,even,False,25
915,3332,even,False,25
916,3338,even,False,25
917,3340,even,False,25
918,3344,even,False,25
919,3350,even,False,25
920,3352,even,False,25
921,3354,even,False,25
922,3356,even,False,25
923,3362,even,False,25
924,3368,even,False,25
925,3374,even,False,25
926,3376,even,False,25
927,3378,even,False,25
928,3380,even,False,25
929,3384,even,False,25
930,3386,even,False,25
931,3392,even,False,25
932,3394,even,False,25
933,3396,even,False,25
934,3398,even,False,25
935,3400,even,False,25
936,3402,even,False,25
937,3404,even,False,25
938,3410,even,False,25
939,3414,even,False,25
940,3416,even,False,25
941,3418,even,False,25
942,3420,even,False,25
943,3422,even,False,25
944,3426,even,False,25
945,3428,even,False,25
946,3430,even,False,25
947,3434,even,False,25
948,3440,even,False,25
949,3446,even,False,25
950,3450,even,False,25
951,3452,even,False,25
952,3454,even,False,25
953,3458,even,False,25
954,3464,even,False,25
955,3470,even,False,25
956,3472,even,False,25
957,3476,even,False,25
958,3478,even,False,25
959,3480,even,False,25
960,3482,even,False,25
961,3484,even,False,25
962,3488,even,False,25
963,3494,even,False,25
964,3496,even,False,25
